8,7,8,8,8,8,8,8,8,7,8,7,10,8,8,9,7,8,7,8,7,8,8,8,7,8,9,7,9,8,7,9,7,7,8,9,7,7,7,8,8,6,8,7,8,12,8,8,13,13,7,17,16,15,8,8,8,8,7,11,8,7,9,9,8,8,7,8,9,8,10,7,8,9,7,8,8,9,8,7,8,8,8,10,8,7,9,7,7,10,8,10,10,9,7,9,7,10,7,7,9,9,8,8,10,8,8,9,8,9,8,7,7,11,8,8,9,8,8,8,8,7,7,8,9,8,8,8,8,8,7,9,8,6,7,7,8,7,9,8,7,8,8,7,7,7,9,8,8,8,8,7,7,8,7,9,9,10,7,9,7,8,8,8,6,7,9,7,7,8,8,7,9,8,8,7,8,8,8,10,8,9,8,7,9,9,7,9,9,7,8,7,8,7,7,6,7,8,41,12,8,25,13,9,6,9,8,8,9,8,7,9,6,7,7,9,7,9,9,9,9,7,8,8,9,9,8,7,8,8,8,8,7,9,7,8,7,9,7,11,7,8,7,8,7,7,8,10,9,9,9,8,8,8,8,9
7,9,7,8,10,8,7,8,10,7,8,8,8,8,8,9,7,9,8,10,7,10,8,7,7,8,8,8,8,9,7,8,9,9,9,8,7,9,8,10,7,8,7,8,8,8,6,8,8,8,7,7,7,8,8,7,8,8,8,7,8,9,7,8,9,9,8,9,8,8,9,9,9,9,7,10,7,8,10,7,9,9,8,8,9,8,8,7,9,7,8,8,8,6,9,9,7,9,9,10,9,8,8,7,7,8,8,9,9,8,9,7,8,8,9,8,7,10,9,8,8,8,8,8,8,7,9,8,9,8,8,11,7,8,9,7,8,8,8,7,7,7,8,8,9,7,8,8,8,8,8,8,8,8,8,9,7,9,9,9,8,8,8,7,7,8,8,8,7,7,8,7,7,8,8,7,7,11,7,8,8,7,7,8,7,9,8,8,8,8,8,8,7,8,8,7,9,8,7,9,8,9,9,11,7,8,9,8,8,9,8,7,9,7,8,7,8,7,8,7,9,8,7,10,8,8,8,8,10,10,8,7,8,8,7,7,7,7,7,9,8,7,8,8,7,8,7,8,7,6,7,8,7,7,8,8
9,7,8,7,8,7,8,8,7,8,11,8,9,9,8,10,8,8,7,8,8,7,8,7,8,8,9,8,7,9,8,9,8,8,8,7,8,8,7,7,8,8,8,8,8,8,8,7,11,9,9,9,8,8,9,8,9,8,7,9,7,10,7,10,8,7,9,9,10,7,9,10,7,7,9,9,10,11,8,8,8,9,8,8,9,12,9,8,8,8,10,11,8,8,9,10,9,9,7,8,8,7,8,7,9,8,7,8,9,7,7,8,8,8,7,9,10,6,7,8,7,7,7,9,8,8,7,9,10,8,9,9,7,8,7,9,9,7,10,8,7,8,9,8,9,9,8,9,7,8,7,8,8,7,7,7,8,7,9,8,9,9,8,7,8,9,7,9,10,10,9,8,8,9,7,8,10,8,7,8,10,8,8,8,8,38,11,16,14,25,7,7,9,7,8,9,8,7,11,9,9,7,8,12,9,7,10,9,10,8,9,7,10,7,9,8,8,7,9,9,9,7,7,7,8,7,11,8,9,7,8,7,10,10,7,8,8,8,8,9,7,7,8,8,7,7,7,9,7,7,7,8,9,7,8,9
9,8,9,8,8,8,8,8,7,8,8,7,6,7,8,8,7,7,7,7,7,8,8,8,8,8,8,8,9,8,7,7,10,8,8,9,8,8,7,7,8,7,8,7,9,10,7,8,7,9,10,8,8,8,8,8,8,9,8,8,9,9,9,9,8,9,8,9,7,8,8,8,12,9,10,9,9,8,7,8,8,8,8,7,7,9,9,9,7,12,9,8,8,8,8,9,8,8,9,8,7,8,8,9,8,8,8,8,7,9,9,8,7,9,8,7,8,8,8,8,8,8,7,8,9,8,9,9,8,6,8,9,8,7,7,8,7,7,7,7,8,8,8,8,7,7,8,9,7,7,8,8,9,10,7,9,9,10,7,9,9,9,8,8,8,7,8,8,10,8,10,7,6,7,8,8,8,7,9,7,8,8,7,8,8,9,8,8,6,8,8,8,7,8,7,9,8,9,7,9,8,9,8,7,8,8,7,8,8,10,8,7,8,8,9,8,9,7,7,8,9,8,8,11,8,11,9,10,8,8,7,9,8,7,7,7,8,8,9,7,9,7,9,8,7,8,8,9,7,7,7,9,9,9,7,8
9,8,6,8,8,7,8,9,9,8,6,8,7,7,7,7,7,8,7,8,8,7,7,7,8,8,8,8,8,8,11,9,7,8,8,8,7,7,7,9,7,8,8,9,9,8,8,8,7,9,7,8,7,11,8,8,9,8,9,8,8,8,8,8,8,8,8,10,8,8,11,9,8,8,8,8,9,8,7,8,9,9,8,8,8,8,7,10,9,8,7,9,9,9,8,8,10,7,7,8,9,8,9,8,11,8,7,8,7,7,10,8,6,9,9,7,8,9,8,7,8,7,9,9,7,9,9,7,8,8,7,7,8,7,8,10,7,8,9,9,8,7,9,7,7,7,9,8,8,7,8,7,7,6,8,7,7,8,8,6,8,8,9,7,7,8,7,8,9,8,7,8,7,7,9,8,7,9,7,10,9,7,7,8,8,8,7,7,8,7,8,10,8,10,8,7,7,7,7,8,7,7,7,9,8,8,10,9,8,9,8,10,7,8,8,8,7,8,8,6,7,8,9,8,8,8,8,9,7,8,8,11,8,7,8,8,9,8,7,8,7,8,7,8,7,8,9,8,7,8,7,8,7,8,8,6
8,10,10,7,7,7,8,7,7,7,7,8,8,7,7,7,10,7,7,8,9,8,8,8,9,8,8,8,7,7,8,8,8,8,8,9,10,9,8,7,9,8,8,7,8,9,8,9,6,7,7,7,8,8,9,8,7,7,8,9,8,9,7,7,9,9,9,7,7,8,9,8,8,7,8,9,11,8,9,7,9,8,8,8,10,8,7,9,8,9,7,9,9,10,8,9,9,8,7,8,8,8,8,9,7,7,8,8,8,8,8,7,9,10,9,7,8,7,9,8,8,8,7,9,9,7,7,9,7,8,9,8,7,9,8,8,8,7,8,8,7,7,8,8,9,7,7,7,8,9,7,8,8,7,8,8,7,8,7,9,9,9,9,7,7,7,9,8,7,9,8,8,9,7,7,8,7,7,7,7,7,9,9,10,8,9,8,10,8,12,8,9,7,7,8,9,9,8,7,7,8,8,8,9,9,8,7,7,10,8,8,9,9,8,7,7,10,9,7,8,7,8,7,7,8,8,9,8,8,8,9,8,7,8,8,7,8,9,7,8,7,9,7,7,8,8,8,8,7,6,8,9,9,9,8,9
10,10,7,8,8,10,8,9,8,7,7,9,7,8,8,8,9,7,10,7,9,8,8,7,7,7,8,8,7,8,7,10,9,8,6,7,8,7,7,8,8,7,9,9,10,8,8,11,8,8,8,8,8,7,8,9,8,7,7,7,9,7,8,8,8,8,9,8,7,8,8,8,7,9,8,9,7,9,8,9,8,7,10,9,8,8,9,8,8,8,7,8,8,8,9,9,8,7,10,9,8,8,8,8,8,7,10,7,8,8,8,8,7,9,7,9,7,8,8,7,8,9,8,7,8,7,7,8,8,9,7,8,8,7,8,9,8,8,7,8,9,8,7,9,8,9,8,7,7,7,10,7,7,8,9,8,9,7,8,7,8,7,7,8,9,8,8,8,8,9,8,8,8,7,8,10,9,8,8,8,8,8,8,7,8,7,9,7,7,8,9,7,7,8,9,9,7,9,9,9,8,9,7,8,9,8,7,8,8,9,9,8,7,8,7,8,8,10,7,7,10,7,9,8,8,7,8,8,8,8,8,7,8,8,8,7,8,8,9,9,7,8,10,7,7,7,8,6,8,10,7,8,8,11,7,8
8,9,8,8,7,9,7,7,7,7,8,8,7,8,7,8,6,7,8,9,9,8,8,8,7,8,8,8,8,7,8,7,8,8,8,8,12,12,8,7,8,8,8,8,9,7,9,9,9,8,9,8,8,8,7,9,8,8,9,8,8,8,8,9,9,8,11,8,7,8,9,8,11,8,8,8,7,7,8,12,7,9,10,8,8,9,9,8,7,8,8,10,7,8,8,8,8,7,9,8,8,8,9,7,8,7,8,8,8,7,7,8,8,8,8,7,8,9,7,8,8,7,8,7,7,8,9,8,7,7,8,8,7,7,7,6,8,9,9,8,8,9,8,8,7,9,8,8,8,7,8,8,8,7,7,9,9,10,8,9,10,10,7,7,8,8,9,7,8,8,8,9,8,8,8,9,7,8,8,7,7,7,9,8,7,8,8,9,8,7,8,7,7,7,10,7,10,8,7,9,8,8,7,8,9,7,7,8,7,7,8,9,8,9,7,8,7,9,7,8,7,9,9,12,7,8,9,8,7,7,7,8,7,7,8,8,8,7,9,8,8,9,10,6,7,7,8,8,8,8,7,7,7,8,9,8
8,10,8,9,8,8,7,7,8,8,7,7,9,9,7,7,9,8,8,8,8,8,8,9,9,8,9,7,8,8,8,11,9,8,8,7,7,9,8,8,8,8,7,9,8,8,8,8,8,8,8,8,9,9,10,8,8,10,8,8,8,9,9,12,9,8,7,9,10,10,8,9,9,10,8,9,8,9,8,8,7,7,8,7,9,9,9,8,8,9,8,7,8,8,9,11,9,7,11,7,9,8,7,9,7,10,8,8,8,7,8,8,9,7,8,8,7,8,8,8,9,7,7,9,8,8,7,9,8,9,8,7,8,8,8,8,8,9,8,7,9,7,9,7,8,8,7,9,8,8,8,9,8,8,8,8,8,8,7,7,7,7,7,9,8,7,8,7,7,7,7,8,8,7,9,8,11,9,9,9,7,8,8,8,8,8,7,10,8,7,8,8,9,8,8,9,6,8,8,7,8,8,9,9,8,8,8,7,10,8,7,7,7,8,8,8,7,9,7,8,8,9,8,7,7,10,7,7,7,6,8,8,9,10,7,12,7,9,7,8,8,9,7,8,9,7,8,7,10,10,8,8,8,8,9,9
7,9,11,7,8,7,8,7,8,8,9,8,8,9,8,8,8,7,9,8,7,7,9,9,9,7,7,8,8,7,8,7,7,7,8,9,8,8,7,8,7,8,9,7,9,8,9,7,7,9,6,7,8,9,7,10,11,8,8,8,7,8,8,7,8,11,9,9,8,7,8,10,7,8,8,10,8,9,8,8,8,11,9,9,9,7,8,11,9,10,8,7,12,9,9,7,8,9,9,7,8,8,8,8,7,8,8,7,8,8,8,7,6,7,7,7,7,8,7,8,9,8,9,6,8,9,7,9,8,8,7,8,8,7,8,9,8,6,8,7,9,9,9,7,7,7,8,7,8,7,8,7,8,8,7,8,8,10,9,9,8,7,8,8,8,7,8,8,8,7,8,9,8,8,8,10,7,8,8,8,8,7,8,7,37,17,30,15,9,8,7,8,8,8,42,16,19,9,10,8,9,9,7,8,8,9,8,8,8,7,9,7,7,8,8,7,8,8,7,7,8,8,8,8,9,8,7,9,8,9,7,8,8,7,8,9,9,8,7,8,7,8,7,8,8,8,9,7,7,9,9,9,6,8,8,8
8,7,8,8,9,8,7,8,7,7,7,8,7,8,9,9,8,8,8,8,7,7,7,8,8,7,9,9,8,8,7,8,8,9,7,10,9,7,8,13,8,8,8,7,8,8,8,7,9,6,8,8,8,8,8,9,7,9,8,8,8,9,7,8,9,8,7,9,9,7,9,7,9,7,7,7,9,8,8,9,10,9,7,8,9,8,11,7,10,9,9,9,10,9,10,9,8,7,8,8,9,11,8,10,9,8,7,8,7,8,9,9,9,8,7,7,9,8,8,8,8,7,9,9,9,9,8,8,8,8,8,9,9,9,7,8,7,7,7,11,9,7,7,8,7,7,8,8,8,8,8,8,7,8,8,9,8,8,8,7,9,7,8,7,7,8,8,8,7,8,8,8,9,9,8,8,7,9,8,8,7,7,7,7,8,38,17,9,8,7,9,7,7,8,9,7,6,9,9,8,7,8,7,8,8,7,7,8,8,7,8,7,8,7,8,8,9,8,8,8,8,7,8,7,8,11,8,9,7,9,7,9,10,6,8,7,9,8,9,8,7,7,9,7,8,8,7,7,8,7,8,9,8,8,8,8
7,7,10,7,8,7,8,7,8,9,9,7,7,9,7,9,8,7,8,8,6,6,7,8,7,8,7,8,8,7,8,8,8,8,9,9,8,8,7,7,8,8,8,8,8,8,7,10,8,7,10,8,10,7,9,9,7,8,12,8,8,10,9,7,8,9,7,8,8,11,8,8,10,10,8,9,8,9,9,8,9,8,8,9,8,11,9,9,8,8,9,8,8,7,9,7,7,9,7,9,9,7,7,8,9,8,8,8,8,7,9,8,8,8,9,10,8,9,9,8,8,9,8,9,8,7,8,7,9,9,8,8,7,8,9,8,8,7,7,9,9,7,9,9,9,8,8,8,8,7,7,9,8,10,8,8,7,7,8,8,9,8,9,7,8,9,8,8,8,10,8,8,7,8,8,7,8,8,10,8,8,9,9,8,9,9,9,7,8,8,7,7,10,8,7,9,10,7,9,8,9,8,8,8,9,9,8,8,7,7,7,9,8,6,7,8,8,8,8,8,9,8,8,8,8,8,8,8,6,8,7,7,7,7,8,7,9,9,8,7,7,8,7,7,7,9,7,9,8,8,8,9,7,9,9,8
7,7,7,8,8,7,7,8,8,7,8,8,7,7,9,8,8,7,7,8,9,8,8,8,7,10,7,9,8,9,9,8,8,8,8,9,8,7,9,9,8,8,9,8,8,8,8,8,8,8,8,8,10,8,10,8,8,8,7,8,8,9,8,8,8,8,10,7,7,8,7,10,9,8,9,8,9,9,8,8,8,11,8,8,7,9,8,8,8,8,8,9,8,8,9,9,8,8,8,8,7,8,9,8,8,8,7,8,8,8,8,7,9,7,11,8,8,7,7,8,7,8,8,7,8,7,8,8,7,7,8,9,10,7,7,9,9,7,9,8,8,7,8,8,7,9,8,7,7,8,9,9,8,8,8,7,8,9,7,8,7,7,7,7,8,8,8,8,8,7,8,9,8,7,7,8,11,6,8,9,8,12,8,8,7,8,8,9,7,7,10,7,9,8,9,8,8,9,7,7,8,7,8,7,8,8,8,7,8,8,9,9,8,8,9,9,8,7,7,11,8,8,7,8,9,7,7,8,8,9,9,7,9,7,10,9,8,9,8,8,7,7,8,7,8,8,6,7,7,8,7,7,7,10,8,8
8,9,9,8,7,8,9,8,10,8,8,7,9,9,8,7,7,8,7,9,7,7,8,9,9,9,9,8,8,7,9,8,10,7,7,8,11,9,9,8,8,10,6,8,8,7,8,9,9,8,9,8,8,10,9,12,7,7,7,8,9,8,9,8,8,9,8,10,9,8,9,8,8,8,11,8,9,8,8,10,8,10,8,9,8,8,8,9,10,8,6,9,9,8,8,9,9,8,8,9,8,9,8,8,8,8,8,9,7,7,8,9,9,7,8,8,7,7,7,8,9,7,8,8,8,10,8,7,9,8,8,9,7,8,7,8,7,9,10,8,9,9,8,7,8,9,8,7,10,8,8,8,7,7,7,8,6,9,9,9,8,7,7,8,8,7,8,8,9,9,10,6,8,9,7,7,8,7,8,7,8,9,11,8,10,8,8,9,8,10,8,8,7,7,8,8,11,8,8,7,7,8,9,8,6,8,9,8,8,8,7,8,7,7,9,11,7,8,8,9,9,8,8,8,8,7,7,9,8,9,9,8,7,7,7,8,9,8,8,7,9,10,8,11,7,9,9,11,8,9,7,9,10,7,8,7
8,9,8,9,8,8,8,13,8,7,8,9,7,10,9,7,8,7,8,8,11,7,8,7,6,8,8,8,11,7,8,10,8,8,8,8,7,8,8,7,8,8,7,7,10,8,9,8,9,9,7,7,9,9,9,7,9,8,10,9,9,8,11,8,9,9,10,9,9,9,10,8,8,10,10,9,8,8,8,10,8,8,10,8,8,8,8,7,7,11,8,10,9,13,9,8,8,7,7,8,7,8,10,8,9,9,8,8,7,8,8,8,8,7,8,8,7,8,8,9,8,9,8,8,9,8,9,7,9,8,9,7,8,10,7,8,10,8,8,8,8,8,8,9,11,7,8,7,8,9,10,8,9,9,7,8,9,7,8,7,8,8,8,9,8,7,6,7,10,7,7,8,8,8,10,8,7,7,9,8,8,9,8,8,8,8,9,8,8,8,9,7,7,8,8,9,7,10,9,8,9,8,9,8,7,7,8,8,8,8,9,8,9,8,9,9,8,8,8,8,7,8,9,8,10,8,7,8,8,8,10,10,7,9,8,8,9,10,8,7,9,9,7,9,8,6,9,8,10,8,8,7,7,8,8,8
8,7,7,7,7,7,8,10,9,8,10,8,8,7,9,7,8,9,7,8,8,7,7,9,8,7,7,8,8,7,8,8,9,7,9,11,9,7,8,8,11,7,9,7,6,9,9,9,7,8,9,8,8,8,8,9,8,8,8,9,9,7,12,10,8,8,9,8,7,8,10,9,8,8,8,7,8,9,8,9,8,8,8,8,9,9,7,8,10,8,9,7,8,7,10,8,8,9,8,8,9,8,8,9,7,9,7,8,8,7,8,8,8,7,8,8,11,8,7,7,9,8,7,7,9,7,8,8,9,8,8,8,8,9,6,8,7,8,7,8,9,9,8,9,8,7,8,8,7,8,7,7,7,8,9,8,8,7,8,7,9,7,7,6,7,8,7,8,8,7,8,7,7,9,8,8,8,8,9,6,9,7,8,8,8,8,9,8,9,8,8,8,7,8,8,8,8,8,7,7,7,10,8,8,7,8,9,7,7,8,8,8,7,7,6,7,9,8,7,7,8,9,12,9,9,7,9,8,8,7,8,8,7,8,8,8,8,8,7,7,8,7,8,7,7,8,7,10,7,8,8,7,8,8,7,8
8,9,8,9,8,8,9,7,9,8,8,8,7,7,9,8,9,8,8,10,8,7,9,7,8,9,7,8,9,9,8,8,9,8,7,8,9,8,9,7,8,7,9,8,9,9,8,8,7,9,8,9,9,7,8,7,9,8,7,8,8,7,9,7,9,8,9,8,8,7,9,9,7,8,9,12,9,9,11,8,9,11,8,8,8,8,8,8,8,9,8,9,10,8,10,9,10,8,8,8,10,11,10,9,6,9,7,9,7,7,10,8,7,7,9,9,9,9,7,8,9,8,10,7,7,8,8,9,8,7,8,8,8,8,8,7,8,8,8,8,9,7,8,7,7,9,7,8,8,8,7,8,8,9,7,9,9,9,7,9,7,8,8,11,7,7,9,7,7,7,8,8,8,9,8,8,8,9,7,7,7,7,8,8,6,9,9,8,8,8,8,6,8,43,9,8,7,8,8,8,8,7,8,7,7,8,9,9,9,9,10,8,9,8,8,8,7,7,8,8,10,8,8,7,7,7,9,8,10,8,7,10,8,9,7,8,8,8,8,8,8,7,8,7,8,7,7,7,7,8,7,11,7,8,9,7
